osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
way/1447982494,https://www.openstreetmap.org/way/1447982494,,59.4712686,10.6910361,,shelter,yes,4.2,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/1447982494.
way/813672429,https://www.openstreetmap.org/way/813672429,,59.1085333,11.4183332,,shelter,yes,5.6,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/813672429.
node/9095391763,https://www.openstreetmap.org/node/9095391763,Gapahuk,58.9718802,11.4806790,,shelter,,6.1,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/9095391763.
node/13021533679,https://www.openstreetmap.org/node/13021533679,,59.2213176,11.1984941,,shelter,,7.2,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/13021533679.
way/154829379,https://www.openstreetmap.org/way/154829379,,59.6636133,10.7500602,,shelter,,7.4,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/154829379.
way/1450881445,https://www.openstreetmap.org/way/1450881445,,59.4799255,10.6930471,,shelter,yes,8.0,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/1450881445.
node/12273443519,https://www.openstreetmap.org/node/12273443519,,58.9325949,11.5015858,,shelter,,8.2,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/12273443519.
way/841753738,https://www.openstreetmap.org/way/841753738,,59.2736967,11.1329293,,shelter,yes,8.2,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/841753738.
way/371418567,https://www.openstreetmap.org/way/371418567,,59.3778499,10.7482431,,shelter,,10.2,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/371418567.
node/225581203,https://www.openstreetmap.org/node/225581203,Moss hotell,59.4355568,10.6615698,hotel,,,14.8,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: node/225581203.
way/371418641,https://www.openstreetmap.org/way/371418641,,59.3781028,10.7477480,,shelter,,15.1,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/371418641.
way/813672428,https://www.openstreetmap.org/way/813672428,,59.1083050,11.4182170,,shelter,yes,17.1,5672944,missing,Proposed: add as member of relation 5672944 (Borgleden). Do not modify existing members of relation 5672944 (Borgleden). Research aid only. Existing OSM object: way/813672428.
