trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Borgleden,Bakkelund Backpackers,Rom og hytter | Teltplass,59.6802386,10.7225305,gap,,,,,Proposed addition
Borgleden,Berg pilegrimsherberge,Pilegrimsherberge,59.1369926,11.3298869,gap,,,,,Proposed addition
Borgleden,"Gapahuk med grillplass Tobru, Halden",Gapahuk | Rasteplass,59.1545253,11.2919712,gap,,,,,Proposed addition
Borgleden,Haldenhytta,Pilegrimsherberge,59.1187617,11.3935733,gap,,,,,Proposed addition
Borgleden,Pilegrimsovernatting i Moss,Pilegrimsherberge,59.4136357,10.6629665,gap,,,,,Proposed addition
Borgleden,Solåsen pilegrimsgård,Pilegrimsherberge,59.5067271,10.6886244,gap,,,,,Proposed addition
Borgleden,Urtegården Nordre Mørk,Rasteplass,59.5489309,10.6979168,gap,,,,,Proposed addition
Borgleden,Østre Aker pilegrimsherberge,Pilegrimsherberge,59.9221295,10.8198166,gap,,,,,Proposed addition
Borgleden,Bakke Camping,Rasteplass,59.0140034,11.4509889,matched,node/3663314251,https://www.openstreetmap.org/node/3663314251,3.8,+amenity=shelter; +shelter_type=lean_to; osm:tourism=camp_site,
Borgleden,Bråtorp Camping,Campingplass | Rom og hytter | Teltplass,58.9113625,11.5237426,matched,node/3663317138,https://www.openstreetmap.org/node/3663317138,62.0,name:Bråtorp Camping->Svingen Camping; tourism:chalet->camp_site,
Borgleden,Bunks at Rode,Pilegrimsherberge | Vandrerhjem,59.9273939,10.7668296,matched,node/2790244101,https://www.openstreetmap.org/node/2790244101,8.7,+hostel:type=pilgrim,
Borgleden,Fredriksten Camping,Campingplass | Rom og hytter | Teltplass,59.1159429,11.3986499,matched,way/608090452,https://www.openstreetmap.org/way/608090452,1.4,tourism:chalet->camp_site,
Borgleden,"Gapahuk med grillplass, Skjeberg/Guslundåsen-Heia",Gapahuk | Rasteplass,59.2213893,11.1974888,matched,node/13021533679,https://www.openstreetmap.org/node/13021533679,57.8,"+name=Gapahuk med grillplass, Skjeberg/Guslundåsen-Heia",
Borgleden,Utne Camping,Campingplass,59.3180143,10.9809503,matched,node/3663317730,https://www.openstreetmap.org/node/3663317730,27.3,osm:tents=yes,
Borgleden,Langøyene camping,Teltplass,59.8712779,10.7156181,possible,way/1547711866,https://www.openstreetmap.org/way/1547711866,156.5,compatible_tag_beyond_100m; name:Langøyene camping->Langøyene Teltplass,
Borgleden,Skjeberg camping,Campingplass,59.1907989,11.1869016,possible,node/3663315360,https://www.openstreetmap.org/node/3663315360,184.7,compatible_tag_beyond_100m; name:Skjeberg camping->Høysand Camping,
