osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/976761811,https://www.openstreetmap.org/node/976761811,,59.9872317,10.4034751,,shelter,,6.4,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/976761811.
node/9812318992,https://www.openstreetmap.org/node/9812318992,,60.7348708,10.8353358,,shelter,,9.7,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/9812318992.
way/686975998,https://www.openstreetmap.org/way/686975998,,60.7158387,10.8685389,picnic_site,,,9.8,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/686975998.
way/1433606984,https://www.openstreetmap.org/way/1433606984,,59.9211670,10.6276519,,shelter,,11.1,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/1433606984.
way/334373001,https://www.openstreetmap.org/way/334373001,,59.9235722,10.7313854,,shelter,roof,11.4,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/334373001.
way/1433606985,https://www.openstreetmap.org/way/1433606985,Jar skole,59.9207863,10.6273807,,shelter,roof,13.8,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/1433606985.
node/8988290929,https://www.openstreetmap.org/node/8988290929,,59.9057578,10.7698609,,shelter,,16.0,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8988290929.
node/1902970226,https://www.openstreetmap.org/node/1902970226,Granavolden Gjæstgiveri,60.3664794,10.5281322,hotel,,,16.5,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/1902970226.
node/8710369186,https://www.openstreetmap.org/node/8710369186,,60.3674061,10.5285919,,,,19.2,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369186.
node/8710369187,https://www.openstreetmap.org/node/8710369187,,60.3672619,10.5285611,,,,19.7,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369187.
node/6164658885,https://www.openstreetmap.org/node/6164658885,,60.5216096,10.6449809,hostel,,,21.3,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/6164658885.
way/111439490,https://www.openstreetmap.org/way/111439490,Super Stay Hotel,59.9138543,10.7773960,hotel,,,22.4,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/111439490.
node/563386752,https://www.openstreetmap.org/node/563386752,Løvehulen,59.9430119,10.5566286,,shelter,,23.4,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/563386752.
way/928625231,https://www.openstreetmap.org/way/928625231,Hoff Gjestgiveri,60.6828021,10.8430012,guest_house,,hotel,25.5,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/928625231.
node/8710369193,https://www.openstreetmap.org/node/8710369193,,60.3674139,10.5284429,,,,27.0,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369193.
way/475158600,https://www.openstreetmap.org/way/475158600,Pilegrimssenter Granavollen,60.3673778,10.5284201,information,,office,27.0,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/475158600.
node/8710369189,https://www.openstreetmap.org/node/8710369189,,60.3673561,10.5283860,,,,28.4,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369189.
node/8710369192,https://www.openstreetmap.org/node/8710369192,,60.3674520,10.5284511,,,,28.5,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369192.
node/8710369188,https://www.openstreetmap.org/node/8710369188,,60.3672721,10.5283680,,,,29.3,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369188.
way/70034203,https://www.openstreetmap.org/way/70034203,Hekshusstranda Camping,60.7223987,10.8495841,camp_site,,,30.5,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/70034203.
node/8710369190,https://www.openstreetmap.org/node/8710369190,,60.3673629,10.5282580,,,,35.5,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369190.
node/8710369191,https://www.openstreetmap.org/node/8710369191,,60.3674610,10.5282790,,,,37.4,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: node/8710369191.
way/699959902,https://www.openstreetmap.org/way/699959902,,60.7250665,10.8446466,picnic_site,,,39.6,1370273,missing,Proposed: add as member of relation 1370273 (Gudbrandsdalsleden). Do not modify existing members of relation 1370273 (Gudbrandsdalsleden). Research aid only. Existing OSM object: way/699959902.
