osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
way/1273197042,https://www.openstreetmap.org/way/1273197042,,63.4359992,10.4006727,,shelter,roof,20.0,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1273197042.
node/11373501344,https://www.openstreetmap.org/node/11373501344,Comfort Hotel Trondheim,63.4330281,10.4023490,hotel,,,22.6,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/11373501344.
way/89485660,https://www.openstreetmap.org/way/89485660,Bakeriet,63.4340616,10.4027324,hotel,,hotel,22.9,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/89485660.
node/156719769,https://www.openstreetmap.org/node/156719769,Home Hotel Grand Olav,63.4341701,10.4036210,hotel,,,23.5,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/156719769.
node/9312886959,https://www.openstreetmap.org/node/9312886959,,63.4310611,10.3773874,,shelter,,27.1,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/9312886959.
node/7093860786,https://www.openstreetmap.org/node/7093860786,,63.4309475,10.3755851,picnic_site,,,35.2,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/7093860786.
way/1273197052,https://www.openstreetmap.org/way/1273197052,,63.4358184,10.4013944,,shelter,roof,38.9,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1273197052.
node/156719783,https://www.openstreetmap.org/node/156719783,Astoria,63.4341994,10.3969041,hotel,,,44.0,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/156719783.
node/956343591,https://www.openstreetmap.org/node/956343591,Chesterfield Hotel,63.4343610,10.3999152,hotel,,,48.6,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/956343591.
node/13009857691,https://www.openstreetmap.org/node/13009857691,Knirkenheimen,63.4343219,10.4020075,hotel,,,67.4,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/13009857691.
way/500278221,https://www.openstreetmap.org/way/500278221,,63.4360318,10.3987975,,shelter,yes,71.1,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/500278221.
way/1191208478,https://www.openstreetmap.org/way/1191208478,,63.4260886,10.3936366,,shelter,roof,75.5,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1191208478.
way/635967457,https://www.openstreetmap.org/way/635967457,,63.4367077,10.4014107,,shelter,yes,76.6,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/635967457.
way/1273197041,https://www.openstreetmap.org/way/1273197041,,63.4360221,10.4020844,,shelter,roof,78.1,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1273197041.
way/89482684,https://www.openstreetmap.org/way/89482684,Radisson Blu Royal Garden Hotel,63.4335993,10.4052815,hotel,,hotel,80.3,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/89482684.
way/635967456,https://www.openstreetmap.org/way/635967456,,63.4368516,10.4013552,,shelter,yes,81.3,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/635967456.
way/1273197040,https://www.openstreetmap.org/way/1273197040,,63.4360232,10.4021799,,shelter,roof,82.6,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1273197040.
way/1456196846,https://www.openstreetmap.org/way/1456196846,Venterom spor 2-3,63.4364446,10.3979202,,shelter,yes,89.4,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1456196846.
node/956343622,https://www.openstreetmap.org/node/956343622,City Living Sentrum Hotel & Apartments,63.4337708,10.3968930,hotel,,,90.2,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/956343622.
node/2957446755,https://www.openstreetmap.org/node/2957446755,Thon Hotel Nidaros,63.4339680,10.3997770,hotel,,,90.4,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/2957446755.
way/1456196847,https://www.openstreetmap.org/way/1456196847,Venterom spor 4-5,63.4365882,10.3978636,,shelter,yes,91.7,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1456196847.
node/4744954423,https://www.openstreetmap.org/node/4744954423,Britannia Hotel,63.4317139,10.3987305,hotel,,,103.6,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: node/4744954423.
way/1064363102,https://www.openstreetmap.org/way/1064363102,,63.4258429,10.3932923,,shelter,roof,106.4,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1064363102.
way/1273197043,https://www.openstreetmap.org/way/1273197043,,63.4358249,10.4029420,,shelter,roof,107.3,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1273197043.
way/1273197044,https://www.openstreetmap.org/way/1273197044,,63.4358230,10.4028504,,shelter,roof,107.7,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1273197044.
way/727606082,https://www.openstreetmap.org/way/727606082,,63.4303989,10.3850939,,shelter,,127.7,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/727606082.
way/727606081,https://www.openstreetmap.org/way/727606081,,63.4301104,10.3735738,,shelter,roof,134.0,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/727606081.
way/167823309,https://www.openstreetmap.org/way/167823309,Nidaros Pilgrimsgård,63.4266307,10.4000303,guest_house,,retail,135.8,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/167823309.
way/89943608,https://www.openstreetmap.org/way/89943608,Comfort Hotel Park,63.4276607,10.3924426,hotel,,hotel,141.1,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/89943608.
way/1459090692,https://www.openstreetmap.org/way/1459090692,,63.4333310,10.3979994,,shelter,yes,148.8,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1459090692.
way/1459090691,https://www.openstreetmap.org/way/1459090691,,63.4333339,10.3981347,,shelter,yes,150.4,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/1459090691.
way/315195450,https://www.openstreetmap.org/way/315195450,P-Hotels Brattøra,63.4358958,10.3955836,hotel,,hotel,152.9,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/315195450.
way/87312398,https://www.openstreetmap.org/way/87312398,Scandic Nidelven,63.4358091,10.4068045,hotel,,hotel,157.1,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/87312398.
way/727606084,https://www.openstreetmap.org/way/727606084,,63.4310260,10.3903924,,shelter,,163.7,10508888,missing,Proposed: add as member of relation 10508888 (Kystpilegrimsleia). Do not modify existing members of relation 10508888 (Kystpilegrimsleia). Research aid only. Existing OSM object: way/727606084.
