trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff
Kystpilegrimsleia,Badestranda Leiren,Gapahuk,61.4978201,5.1358545,gap,,,,
Kystpilegrimsleia,Borgstua på Kvernes Prestegård,Pilegrimsherberge,63.0057637,7.7235611,gap,,,,
Kystpilegrimsleia,Brekkegarden pilegrimsherberge,Pilegrimsherberge,62.2533151,5.5850209,gap,,,,
Kystpilegrimsleia,Dagsturhytta Gulakvila,Gapahuk | Dagsturhytte,60.9838664,5.0666969,gap,,,,
Kystpilegrimsleia,Dagsturhytta Havglimt,Gapahuk | Dagsturhytte,62.1022702,5.3383185,gap,,,,
Kystpilegrimsleia,Dagsturhytta Sørefjordhytta,Gapahuk | Dagsturhytte,61.1843165,5.3427748,gap,,,,
Kystpilegrimsleia,Fjøsen Bed & make your own breakfast,Rom og hytter,62.6573691,7.3728435,gap,,,,
Kystpilegrimsleia,Friluftsfyret Kvassheim,Pilegrimsherberge,58.5440423,5.6816364,gap,,,,
Kystpilegrimsleia,Fru Ingas Apartments,Rorbu,62.1237318,5.3131256,gap,,,,
Kystpilegrimsleia,Gapahuk i Fagerdalen,Gapahuk,63.6131966,9.8531485,gap,,,,
Kystpilegrimsleia,Gapahuk på Kvernes,Gapahuk,63.0080037,7.7164520,gap,,,,
Kystpilegrimsleia,Gjertrudstua,Rom og hytter,63.5804899,9.9561704,gap,,,,
Kystpilegrimsleia,Hatlems Hytter,Rom og hytter,61.1501971,5.1780851,gap,,,,
Kystpilegrimsleia,Huset ved havet,Pilegrimsherberge,58.6135920,5.6175515,gap,,,,
Kystpilegrimsleia,Jetmund Gjesteheim,Vandrerhjem,62.0389756,5.5217335,gap,,,,
Kystpilegrimsleia,Kjeldsund leirstad og gjestegard,Pilegrimsherberge | Rom og hytter | Gapahuk | Rasteplass,62.2723994,5.8258360,gap,,,,
Kystpilegrimsleia,Kråen Gard,Pilegrimsherberge | Glamping,62.2227180,5.5412259,gap,,,,
Kystpilegrimsleia,Kvernes på Averøy | Nøkkelsted,Pilegrimsherberge,63.0054590,7.7218786,gap,,,,
Kystpilegrimsleia,Kvile- og lesebu i Moltudalen,Gapahuk | Dagsturhytte,62.2792839,5.6271238,gap,,,,
Kystpilegrimsleia,Overnatting i stabbur med fire sengeplasser på Karmøy,Pilegrimsherberge,59.3805140,5.2371622,gap,,,,
Kystpilegrimsleia,Pilegrimsherberge i Selje prestegard,Pilegrimsherberge,62.0445246,5.3455867,gap,,,,
Kystpilegrimsleia,Reveparken hytteutleige - overnatting direkte ved Jærstrendene,Pilegrimsherberge,58.7680291,5.5125448,gap,,,,
Kystpilegrimsleia,Seljebuda,Pilegrimsherberge,62.0457947,5.3430192,gap,,,,
Kystpilegrimsleia,Sjøglytt,Gapahuk | Dagsturhytte,62.0448474,5.3566106,gap,,,,
Kystpilegrimsleia,Sula havglamping,Pilegrimsherberge | Glamping,63.8429407,8.4470407,gap,,,,
Kystpilegrimsleia,Sætren Rorbuer,Pilegrimsherberge,62.0440852,5.3432702,gap,,,,
Kystpilegrimsleia,Telegrafen - Moster Amfi,Pilegrimsherberge,59.7020599,5.3826386,gap,,,,
Kystpilegrimsleia,Tunheimsfjøra logde,Rorbu,62.0843660,5.5781138,gap,,,,
Kystpilegrimsleia,Årnseth Gapahuk,Gapahuk,63.5948164,9.9625289,gap,,,,
Kystpilegrimsleia,Austrått camping og motell,Rom og hytter | Teltplass,63.6994677,9.7429580,matched,way/477627449,https://www.openstreetmap.org/way/477627449,65.0,name:Austrått camping og motell->Austrått Camping; osm:tents=yes; tourism:chalet->camp_site
Kystpilegrimsleia,Blåheia,Gapahuk,63.5971042,9.8966217,matched,node/2123002752,https://www.openstreetmap.org/node/2123002752,15.4,+name=Blåheia; shelter_type:lean_to->weather_shelter
Kystpilegrimsleia,Borg sommerhotell og camping,Vandrerhjem,62.4330215,6.3935384,matched,node/6793650473,https://www.openstreetmap.org/node/6793650473,17.8,name:Borg sommerhotell og camping->Borg Sommerhotell; tourism:hostel->guest_house
Kystpilegrimsleia,Eco Camp Norway på Smøla,Pilegrimsherberge | Vandrerhjem,63.3276488,8.0529468,matched,way/953763637,https://www.openstreetmap.org/way/953763637,6.8,+hostel:type=pilgrim; name:Eco Camp Norway på Smøla->Eco Camp
Kystpilegrimsleia,Fyrvokterboligen ved Sula Fyr,Pilegrimsherberge,63.8480640,8.4537920,matched,node/6817570372,https://www.openstreetmap.org/node/6817570372,58.9,+hostel:type=pilgrim; name:Fyrvokterboligen ved Sula Fyr->Sula fyr; tourism:hostel->chalet
Kystpilegrimsleia,Gapahuk Aksla,Gapahuk,62.4744002,6.2064004,matched,way/1272392602,https://www.openstreetmap.org/way/1272392602,12.3,+name=Gapahuk Aksla; shelter_type:lean_to->weather_shelter
Kystpilegrimsleia,Gapahuken på Rosvollhaugen,Gapahuk,63.3074055,8.0120373,matched,way/1189170979,https://www.openstreetmap.org/way/1189170979,6.0,name:Gapahuken på Rosvollhaugen->Rosvollhaugen; +shelter_type=lean_to
Kystpilegrimsleia,Gjestegården Halsnøy,Rom og hytter,59.7940744,5.7095446,matched,node/3729825285,https://www.openstreetmap.org/node/3729825285,15.8,osm:amenity=shelter; +name=Gjestegården Halsnøy; osm:shelter_type=picnic_shelter; +tourism=chalet
Kystpilegrimsleia,Hoddevik strandcamping,Campingplass,62.1277389,5.1629276,matched,way/710545435,https://www.openstreetmap.org/way/710545435,79.8,name:Hoddevik strandcamping->Hoddevik Strandcamp
Kystpilegrimsleia,Kinn Skulehus,Pilegrimsherberge,61.5656813,4.7674281,matched,node/9833704434,https://www.openstreetmap.org/node/9833704434,11.2,+hostel:type=pilgrim; name:Kinn Skulehus->Kinn; tourism:hostel->chalet
