osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/986520760,https://www.openstreetmap.org/node/986520760,,63.3876857,10.3871937,picnic_site,,,5.5,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/986520760.
way/1064363102,https://www.openstreetmap.org/way/1064363102,,63.4258429,10.3932923,,shelter,roof,5.8,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: way/1064363102.
node/986520757,https://www.openstreetmap.org/node/986520757,,63.3942693,10.3903231,,shelter,,6.6,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/986520757.
node/986520758,https://www.openstreetmap.org/node/986520758,,63.3844989,10.3863929,,shelter,,6.7,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/986520758.
node/986520762,https://www.openstreetmap.org/node/986520762,,63.4052175,10.3904754,,shelter,,7.7,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/986520762.
node/12178347759,https://www.openstreetmap.org/node/12178347759,Øvre Teiatjønna,63.1994551,10.5057221,picnic_site,,,7.7,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/12178347759.
node/3718759215,https://www.openstreetmap.org/node/3718759215,Smedberget Pilegrimstun,61.9003968,11.0665584,hostel,,,8.0,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/3718759215.
node/986520761,https://www.openstreetmap.org/node/986520761,,63.3914442,10.3930792,,shelter,,8.1,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/986520761.
node/11956326685,https://www.openstreetmap.org/node/11956326685,,63.2030181,10.4724951,,shelter,,8.5,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/11956326685.
node/986520756,https://www.openstreetmap.org/node/986520756,,63.3880422,10.3838923,picnic_site,,,9.2,5129262,missing,Proposed: add as member of relation 5129262 (Østerdalsleden). Do not modify existing members of relation 5129262 (Østerdalsleden). Research aid only. Existing OSM object: node/986520756.
