trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Østerdalsleden,Barmo -hus til leie,Rom og hytter,61.7579278,11.1744449,gap,,,,,Proposed addition
Østerdalsleden,Bjerkelihytten på Aasgårvollen,Rom og hytter,62.3843455,10.8380014,gap,,,,,Proposed addition
Østerdalsleden,Dagfinnstua på Oddheim,Rom og hytter,61.0592235,12.6021817,gap,,,,,Proposed addition
Østerdalsleden,Elgstua | Gjerfloen Fluefiske,Rom og hytter,61.1419977,12.4857420,gap,,,,,Proposed addition
Østerdalsleden,Eltdalen Grendehus,Rom og hytter,61.4805181,11.9358556,gap,,,,,Proposed addition
Østerdalsleden,Fagertun,Rom og hytter,62.2729759,10.7722322,gap,,,,,Proposed addition
Østerdalsleden,Fiskvik Søndre - Jaktslottet.,Rom og hytter,61.6531582,11.1670376,gap,,,,,Proposed addition
Østerdalsleden,Fjellavvo ved Osdalssjøhøgda naturreservat,Rom og hytter,61.6028500,11.7454300,gap,,,,,Proposed addition
Østerdalsleden,"Flenåsstua, Ol-Jons garden",Rom og hytter,61.3294466,12.2466511,gap,,,,,Proposed addition
Østerdalsleden,Fluesonen | Gjerfloen fluefiske,Vandrerhjem,61.1161923,12.5383102,gap,,,,,Proposed addition
Østerdalsleden,Heimvollen,Rom og hytter,63.2035775,10.4363251,gap,,,,,Proposed addition
Østerdalsleden,Hytte på Osåsan,Rom og hytter,62.4805069,11.1250201,gap,,,,,Proposed addition
Østerdalsleden,Hytte ved Nordstu Digre,Rom og hytter,62.9639538,10.6884527,gap,,,,,Proposed addition
Østerdalsleden,Hytte | Storbekkøya museumssæter,Rom og hytter,62.7963475,10.6247878,gap,,,,,Proposed addition
Østerdalsleden,Kari Maries Sommerresidens,Rom og hytter,62.9469167,10.6347222,gap,,,,,Proposed addition
Østerdalsleden,Kneppstua - stengt,Rom og hytter,61.6545203,11.1673021,gap,,,,,Proposed addition
Østerdalsleden,Koie ved Netsjøen,Rom og hytter,61.4701603,11.2272756,gap,,,,,Proposed addition
Østerdalsleden,Koie ved Nysledammen,Rom og hytter,61.4623386,11.9730055,gap,,,,,Proposed addition
Østerdalsleden,Mandfloen husmannsplass,Rom og hytter,61.1483690,12.4675857,gap,,,,,Proposed addition
Østerdalsleden,Negarn,Rom og hytter,61.8836523,11.0902430,gap,,,,,Proposed addition
Østerdalsleden,Perskoia,Rom og hytter,61.3374033,11.3913948,gap,,,,,Proposed addition
Østerdalsleden,Pilegrimsbu Vardan,Rom og hytter,62.8903674,10.5875393,gap,,,,,Proposed addition
Østerdalsleden,Pilegrimsbu ved Okstjønna,Rom og hytter,63.0502213,10.6784213,gap,,,,,Proposed addition
Østerdalsleden,Pilegrimslavvo ved Søndre Kvanntjønna,Rom og hytter,62.1084714,10.9356135,gap,,,,,Proposed addition
Østerdalsleden,Romenstad Gård,Vandrerhjem,61.9676364,11.1071762,gap,,,,,Proposed addition
Østerdalsleden,Samatun,Rom og hytter,63.1104949,10.5960162,gap,,,,,Proposed addition
Østerdalsleden,Simensvollen - trivelig seterstue,Rom og hytter,62.4677224,11.0710488,gap,,,,,Proposed addition
Østerdalsleden,Skårsåsbua,Rom og hytter,62.0186659,10.9633912,gap,,,,,Proposed addition
Østerdalsleden,Småvangan skihytte,Rom og hytter,62.1770516,10.8226490,gap,,,,,Proposed addition
Østerdalsleden,Stengt- Pilegrimshytta i Otnes,Rom og hytter,61.7581462,11.1794455,gap,,,,,Proposed addition
Østerdalsleden,Svarttjønnbua,Rom og hytter,62.7352447,10.7675833,gap,,,,,Proposed addition
Østerdalsleden,Tollefkoia,Rom og hytter,61.2751008,11.4490914,gap,,,,,Proposed addition
Østerdalsleden,Tollefsa Gjestegård,Vandrerhjem,62.4178455,10.8583664,gap,,,,,Proposed addition
Østerdalsleden,Trollhaugen,Rom og hytter,62.3423585,10.8130088,gap,,,,,Proposed addition
