osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/4692454892,https://www.openstreetmap.org/node/4692454892,,60.1474276,15.3844232,,shelter,,2.1,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/4692454892.
node/6684063785,https://www.openstreetmap.org/node/6684063785,,62.1067000,13.2486471,picnic_site,,,2.1,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/6684063785.
node/4692454774,https://www.openstreetmap.org/node/4692454774,,60.1432805,15.4010475,,shelter,,2.9,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/4692454774.
node/4692454786,https://www.openstreetmap.org/node/4692454786,,60.1457554,15.3915778,,shelter,,3.0,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/4692454786.
node/4693776024,https://www.openstreetmap.org/node/4693776024,,60.2734390,14.9808578,,shelter,,3.4,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/4693776024.
node/12162376888,https://www.openstreetmap.org/node/12162376888,,62.1212181,13.1959051,,shelter,,4.3,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/12162376888.
node/4692454765,https://www.openstreetmap.org/node/4692454765,,60.1408431,15.4076468,,shelter,,4.5,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/4692454765.
node/12994948844,https://www.openstreetmap.org/node/12994948844,Norgesvilda,62.5143047,13.0017436,,shelter,,4.5,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/12994948844.
node/6499787088,https://www.openstreetmap.org/node/6499787088,,60.4577865,14.7184342,,shelter,,5.0,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/6499787088.
node/1890223679,https://www.openstreetmap.org/node/1890223679,Vedbodåsen,62.5648720,12.6374502,,shelter,,5.2,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/1890223679.
node/339314753,https://www.openstreetmap.org/node/339314753,Fjällstuga Fältjägaren,62.8181663,12.4459583,alpine_hut,,,5.4,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/339314753.
way/949154611,https://www.openstreetmap.org/way/949154611,Fagervallen,62.4880497,13.1023466,,shelter,,5.6,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: way/949154611.
way/991435956,https://www.openstreetmap.org/way/991435956,,60.7228799,14.8768787,,shelter,shelter,6.4,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: way/991435956.
node/7760980723,https://www.openstreetmap.org/node/7760980723,,60.7952742,14.6668391,,shelter,,7.2,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/7760980723.
node/6499786382,https://www.openstreetmap.org/node/6499786382,,60.4605358,14.7014102,,shelter,,7.3,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/6499786382.
node/4680694042,https://www.openstreetmap.org/node/4680694042,,60.9167040,14.6057216,,shelter,,7.4,1151161,missing,Proposed: add as member of relation 1151161 (Romboleden). Do not modify existing members of relation 1151161 (Romboleden). Research aid only. Existing OSM object: node/4680694042.
