osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
way/911488706,https://www.openstreetmap.org/way/911488706,,59.9240852,10.8348370,,shelter,yes,1.8,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/911488706.
way/622692244,https://www.openstreetmap.org/way/622692244,,59.9178725,10.8533007,picnic_site,,,1001.5,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622692244.
node/12557119310,https://www.openstreetmap.org/node/12557119310,Quality Hotel™ Hasle Linie,59.9276639,10.7969428,hotel,,,1005.4,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/12557119310.
way/622692201,https://www.openstreetmap.org/way/622692201,,59.9193497,10.8566098,picnic_site,,,1009.3,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622692201.
way/622692219,https://www.openstreetmap.org/way/622692219,,59.9183005,10.8546776,picnic_site,,,1012.8,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622692219.
way/622692211,https://www.openstreetmap.org/way/622692211,,59.9187585,10.8557215,picnic_site,,,1016.2,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622692211.
node/3718110092,https://www.openstreetmap.org/node/3718110092,Møyrud,60.7379435,11.1360299,chalet,,,1017.4,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/3718110092.
way/935285787,https://www.openstreetmap.org/way/935285787,,60.1487728,11.1520951,,shelter,yes,102.3,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/935285787.
way/622708293,https://www.openstreetmap.org/way/622708293,,59.9197415,10.8575818,picnic_site,,,1025.7,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622708293.
node/3123089878,https://www.openstreetmap.org/node/3123089878,Best Western Leto Arena,60.2500720,11.1807220,hotel,,,103.0,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/3123089878.
node/9272283203,https://www.openstreetmap.org/node/9272283203,,60.7928480,11.0430500,,,,104.4,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/9272283203.
way/622692234,https://www.openstreetmap.org/way/622692234,,59.9176614,10.8539893,picnic_site,,,1043.3,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622692234.
way/89482111,https://www.openstreetmap.org/way/89482111,Quality Hotel Olavsgaard,59.9793831,10.9983475,hotel,,,1047.7,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/89482111.
way/936671584,https://www.openstreetmap.org/way/936671584,,60.1724893,11.1712244,,shelter,yes,105.4,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/936671584.
way/622708294,https://www.openstreetmap.org/way/622708294,,59.9194568,10.8578532,picnic_site,,,1056.6,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622708294.
way/622692217,https://www.openstreetmap.org/way/622692217,,59.9180644,10.8553347,picnic_site,,,1056.8,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: way/622692217.
node/356345433,https://www.openstreetmap.org/node/356345433,Scandic Helsfyr,59.9156064,10.8049863,hotel,,,106.7,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/356345433.
node/3566976493,https://www.openstreetmap.org/node/3566976493,Comfort Hotel Grand Central,59.9106410,10.7507000,hotel,,,1063.0,1200009,missing,Proposed: add as member of relation 1200009 (Romeriksleden). Do not modify existing members of relation 1200009 (Romeriksleden). Research aid only. Existing OSM object: node/3566976493.
