trail,country,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,source,path_types,naturkartan_id
St. Olavsleden,Sweden,Stöde Camping,Veterinarian,62.4162610,16.5695350,matched,way/808435179,https://www.openstreetmap.org/way/808435179,65.8,tourism=camp_site; name=Stöde Camping,stolavsleden.com,horseback,21377
St. Olavsleden,Sweden,Åre Djurklinik,Veterinarian,63.3498860,13.1899877,gap,,,,,stolavsleden.com,horseback,21787
St. Olavsleden,Sweden,Djursjukhuset Östersund,Veterinarian,63.1757171,14.6876363,matched,node/2004327957,https://www.openstreetmap.org/node/2004327957,3.8,amenity=veterinary; name=Östersunds Djursjukhus,stolavsleden.com,horseback,21748
St. Olavsleden,Sweden,Veterinären på Söder,Veterinarian,63.1631852,14.6590392,possible,node/2549551944,https://www.openstreetmap.org/node/2549551944,154.5,tourism=hostel,stolavsleden.com,horseback,21783
St. Olavsleden,Sweden,Snövit Veterinär,Veterinarian,63.3157022,13.2723419,possible,way/1309939669,https://www.openstreetmap.org/way/1309939669,126.3,tourism=hostel; name=STF Södergården Vandrarhem Åre,stolavsleden.com,horseback,21847
St. Olavsleden,Sweden,Distriktsveterinärerna Sundsvall,Veterinarian,62.3542991,17.0133594,gap,,,,,stolavsleden.com,horseback,21856
St. Olavsleden,Sweden,Ejra Djurklinik,Veterinarian,63.1905560,14.6478817,matched,node/6960155785,https://www.openstreetmap.org/node/6960155785,4.2,amenity=veterinary; name=Ejra Djurklinik,stolavsleden.com,horseback,21786
St. Olavsleden,Sweden,Distriktsveterinärerna Jämtland,Veterinarian,63.0636611,14.8370954,gap,,,,,stolavsleden.com,horseback,21784
St. Olavsleden,Sweden,Distriktsveterinärerna Fränsta,Veterinarian,62.4982217,16.1678468,gap,,,,,stolavsleden.com,horseback,21858
St. Olavsleden,Sweden,VetZervice,Veterinarian,63.3474488,14.2411093,gap,,,,,stolavsleden.com,horseback,21950
St. Olavsleden,Sweden,Veterinärkliniken Åredalen,Veterinarian,63.3924182,12.9202496,matched,node/13255987511,https://www.openstreetmap.org/node/13255987511,80.3,amenity=shelter,stolavsleden.com,horseback,21848
St. Olavsleden,Sweden,Djursjukhuset Sundsvall,Veterinarian,62.3739590,17.3479003,gap,,,,,stolavsleden.com,horseback,21785
