osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/2585557211,https://www.openstreetmap.org/node/2585557211,STF Östersund Ledkrysset Vandrarhem,63.1781932,14.6457054,hostel,,,1.4,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/2585557211.
node/3815442185,https://www.openstreetmap.org/node/3815442185,Sörbygården,63.0967550,14.7913972,guest_house,,,1.6,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/3815442185.
node/3523833707,https://www.openstreetmap.org/node/3523833707,Hussborgs herrgård,62.4973086,16.0175937,hotel,,,3.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/3523833707.
node/13267585089,https://www.openstreetmap.org/node/13267585089,Hållandsgårdens Pilgrimsstuga,63.3164312,13.3526166,wilderness_hut,,,3.6,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13267585089.
node/8260089908,https://www.openstreetmap.org/node/8260089908,Erikbu,63.3817307,10.7357001,,shelter,,3.8,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/8260089908.
node/13590708417,https://www.openstreetmap.org/node/13590708417,Gårdhuset Vandrarhem,63.3162018,13.2365938,hostel,,,4.2,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13590708417.
way/214356720,https://www.openstreetmap.org/way/214356720,,63.3975299,12.9197429,chalet,,yes,4.6,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/214356720.
node/2549551944,https://www.openstreetmap.org/node/2549551944,,63.1620336,14.6573183,hostel,,,4.8,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/2549551944.
node/11818550599,https://www.openstreetmap.org/node/11818550599,Camp Östbacken,63.4070125,13.8122273,camp_site,,,5.1,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/11818550599.
way/1060280800,https://www.openstreetmap.org/way/1060280800,,63.6422986,12.1548579,,shelter,yes,5.9,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1060280800.
way/605741152,https://www.openstreetmap.org/way/605741152,Millestgården,63.3924974,12.8743455,hotel,,yes,6.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/605741152.
node/6817570380,https://www.openstreetmap.org/node/6817570380,Munkeby Herberge,63.7239602,11.3836920,guest_house,,,6.8,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6817570380.
node/922674322,https://www.openstreetmap.org/node/922674322,Sundsvall City Hotel,62.3913948,17.3106579,hotel,,,7.4,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/922674322.
node/4236193150,https://www.openstreetmap.org/node/4236193150,Hållandsgården,63.3215436,13.3609364,hotel,,,7.8,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/4236193150.
node/470641814,https://www.openstreetmap.org/node/470641814,Hotel Emma,63.1781616,14.6370711,hotel,,,8.1,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/470641814.
way/84947237,https://www.openstreetmap.org/way/84947237,Hotel Knaust,62.3905156,17.3110391,hotel,,yes,8.1,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/84947237.
node/13156999342,https://www.openstreetmap.org/node/13156999342,Åre Bed & Breakfast,63.3973079,13.0912930,guest_house,,,8.1,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13156999342.
way/566346522,https://www.openstreetmap.org/way/566346522,Åre Fjällsätra,63.3172237,13.2369781,hotel,,yes,9.4,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/566346522.
node/2973471469,https://www.openstreetmap.org/node/2973471469,,63.3753105,14.0198732,picnic_site,,,9.8,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/2973471469.
node/6566674939,https://www.openstreetmap.org/node/6566674939,Hellberg herberge,63.6323464,10.8116949,hostel,,,10.9,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6566674939.
way/1039106465,https://www.openstreetmap.org/way/1039106465,RUMI Hostel,63.4336748,10.4245115,hostel,,hostel,11.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1039106465.
node/12825373745,https://www.openstreetmap.org/node/12825373745,,63.7013946,11.8959668,,shelter,,11.2,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/12825373745.
node/7125728819,https://www.openstreetmap.org/node/7125728819,,63.3256245,12.0915699,,shelter,,12.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/7125728819.
way/264808078,https://www.openstreetmap.org/way/264808078,Teveltunet Fjellstue,63.3349139,12.0367856,alpine_hut,,hotel,12.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/264808078.
node/4558676301,https://www.openstreetmap.org/node/4558676301,,63.1832949,14.5903155,,shelter,,12.4,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/4558676301.
node/1589636954,https://www.openstreetmap.org/node/1589636954,Kulltjärn,63.0973173,14.4824791,,shelter,,12.6,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/1589636954.
way/1410513722,https://www.openstreetmap.org/way/1410513722,Kvilbekken,63.6424003,12.1548557,picnic_site,,,14.7,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1410513722.
node/6817570375,https://www.openstreetmap.org/node/6817570375,Troset gård,63.6306155,11.3236696,apartment,,,16.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/6817570375.
node/4575287793,https://www.openstreetmap.org/node/4575287793,Åre Fjällsätra,63.3173221,13.2370239,hotel,restaurant,,16.4,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/4575287793.
node/5678268634,https://www.openstreetmap.org/node/5678268634,,63.0907856,14.7480458,,shelter,,16.7,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/5678268634.
way/214356676,https://www.openstreetmap.org/way/214356676,,63.3975869,12.9193286,chalet,,yes,17.1,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/214356676.
node/560417202,https://www.openstreetmap.org/node/560417202,Quality Hotel Sundsvall,62.3863142,17.3070260,hotel,,,17.4,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/560417202.
way/1309939669,https://www.openstreetmap.org/way/1309939669,STF Södergården Vandrarhem Åre,63.3159766,13.2747967,hostel,,yes,17.5,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/1309939669.
node/14027350576,https://www.openstreetmap.org/node/14027350576,,63.1795962,14.6300748,picnic_site,,,17.8,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/14027350576.
way/214356713,https://www.openstreetmap.org/way/214356713,,63.3974270,12.9194067,chalet,,yes,18.5,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/214356713.
node/13945719601,https://www.openstreetmap.org/node/13945719601,,63.4767246,11.0318175,,shelter,,18.7,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/13945719601.
node/3167575073,https://www.openstreetmap.org/node/3167575073,,63.1703706,14.5638675,,shelter,,19.0,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/3167575073.
way/236640561,https://www.openstreetmap.org/way/236640561,Scandic Stiklestad,63.7958067,11.5627671,hotel,,civic,19.5,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: way/236640561.
node/1591017025,https://www.openstreetmap.org/node/1591017025,,63.1728146,14.6554434,,shelter,,20.6,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/1591017025.
node/4557813979,https://www.openstreetmap.org/node/4557813979,,63.0749039,14.8219430,,shelter,,21.3,10524322,missing,Proposed: add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only. Existing OSM object: node/4557813979.
