trail,country,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,source,path_types,naturkartan_id,proposal_note
St. Olavsleden,Norway,Auskin Kreative Senter,Pilegrimsherberge | Rom og hytter,63.7781270,11.7129774,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Boda borg,Pilegrimsherberge,62.4593560,16.3739880,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Borgsjö Hembygdsgård,Pilegrimsherberge,62.5416192,15.9018517,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Borås gård,Pilegrimsherberge,63.5367624,11.0567195,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Ersgard Gårdshotell med pilegrimsovernatting,Pilegrimsherberge,63.4498686,11.0075248,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Frosta Strandhus,Pilegrimsherberge,63.5992556,10.7061553,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Gullesviken,Pilegrimsherberge,62.3754857,16.7712627,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Hedmans fjellby,Rom og hytter,63.3141509,13.2528979,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Hotell Jämtkrogen,Rom og hytter,62.7541287,15.4171572,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Norway,Hussborgs herrgård,Pilegrimsherberge,62.4972886,16.0175548,gap,,,,,pilegrimsleden.no,hiking,,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
