osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
way/960805989,https://www.openstreetmap.org/way/960805989,,59.8492926,10.4471283,,shelter,yes,2.8,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/960805989.
way/958868381,https://www.openstreetmap.org/way/958868381,,59.8570749,10.4663571,,shelter,yes,6.2,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/958868381.
way/447241726,https://www.openstreetmap.org/way/447241726,Blektjernstua,59.7247574,10.1873401,wilderness_hut,,hut,9.5,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/447241726.
way/930916193,https://www.openstreetmap.org/way/930916193,,59.7431492,10.2037027,,shelter,service,19.0,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/930916193.
node/6637707918,https://www.openstreetmap.org/node/6637707918,,59.7398793,10.2024033,,shelter,,19.9,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/6637707918.
way/958868376,https://www.openstreetmap.org/way/958868376,,59.8570484,10.4671897,,shelter,yes,21.2,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/958868376.
way/111633158,https://www.openstreetmap.org/way/111633158,Globus Hotel,59.7395954,10.2002924,hotel,,hotel,22.4,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/111633158.
node/4341903600,https://www.openstreetmap.org/node/4341903600,,59.4182652,10.4395451,,shelter,,23.5,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/4341903600.
way/945260772,https://www.openstreetmap.org/way/945260772,,59.4417814,10.4330727,,shelter,yes,23.9,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/945260772.
node/4710485003,https://www.openstreetmap.org/node/4710485003,,59.8611570,10.4675983,,shelter,,30.3,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/4710485003.
