trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Tunsbergleden,Berger Gård,Pilegrimsherberge,59.8645815,10.4729558,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Brannåsen,Rom og hytter | Teltplass,59.5329700,10.2393100,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Engøy gjestegård,Pilegrimsherberge | Teltplass,59.1458796,10.3125662,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Fuglesang herberge,Pilegrimsherberge,59.9238617,10.6365279,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Gapahuk ved Stordammen,Gapahuk,59.7649537,10.3759217,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Gardlaus Markastue og pilegrimsherberge,Rom og hytter,59.9338221,10.5539131,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Kaupang gård,Pilegrimsherberge | Teltplass,59.4545863,10.2478324,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Kirkebakken Borre - midlertidig stengt,Pilegrimsherberge,59.3830525,10.4599826,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Kjølholmen på Veierland,Teltplass,59.1647995,10.3601503,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Lavvoen Biggen,Rasteplass,59.8094600,10.3752500,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Orrfuglstua pilegrimsherberge,Pilegrimsherberge,59.4289637,10.4461367,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Poppel pilegrimsherberge,Pilegrimsherberge,59.2778261,10.4416313,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Preståsen pilegrimsherberge,Pilegrimsherberge,59.1341390,10.2393160,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Røyken Menighetshus,Pilegrimsherberge,59.7465420,10.3882478,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Sande overnatting,Pilegrimsherberge,59.5907643,10.2088204,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Tyristua,Rom og hytter | Teltplass,59.5351110,10.2255638,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Veierland skole,Rom og hytter,59.1574859,10.3536489,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Østre Aker pilegrimsherberge,Pilegrimsherberge,59.9221295,10.8198166,gap,,,,,Proposed: create OSM object and add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only.
Tunsbergleden,Borre Familie Camping,Campingplass | Teltplass,59.3783077,10.4655385,matched,way/561884725,https://www.openstreetmap.org/way/561884725,92.5,name:Borre Familie Camping->Borre Familiecamping; osm:tents=yes,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/561884725.
Tunsbergleden,Bunks at Rode,Pilegrimsherberge | Vandrerhjem,59.9273939,10.7668296,matched,node/2790244101,https://www.openstreetmap.org/node/2790244101,8.7,+hostel:type=pilgrim,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/2790244101.
Tunsbergleden,Gapahuk ved Solgården,Gapahuk,59.8486197,10.4462707,matched,way/960805989,https://www.openstreetmap.org/way/960805989,88.8,+name=Gapahuk ved Solgården; shelter_type:lean_to->public_transport,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/960805989.
