osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/837453934,https://www.openstreetmap.org/node/837453934,Vakkerstøylen,62.2685920,7.8317317,wilderness_hut,,,8.0,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/837453934.
way/890226001,https://www.openstreetmap.org/way/890226001,,62.0862064,9.1785368,,shelter,yes,13.4,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/890226001.
way/890225979,https://www.openstreetmap.org/way/890225979,Gapahuken på Hundyrju,62.0928165,9.2177093,,shelter,yes,17.5,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/890225979.
node/1356403693,https://www.openstreetmap.org/node/1356403693,Tjønnebu,62.3211360,7.6668627,wilderness_hut,,,18.2,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/1356403693.
way/677097863,https://www.openstreetmap.org/way/677097863,Valldal Fjord Lodge,62.3000217,7.2640292,hotel,,hotel,32.8,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/677097863.
way/298217058,https://www.openstreetmap.org/way/298217058,Fokstugu fjellstue,62.1142708,9.2873581,chalet,,church,39.5,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/298217058.
node/3663314566,https://www.openstreetmap.org/node/3663314566,Dombås Motell,62.0804180,9.1242930,camp_site,,,43.3,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/3663314566.
node/6734886122,https://www.openstreetmap.org/node/6734886122,Dombås Gjestehus,62.0750548,9.1362003,guest_house,,,43.7,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/6734886122.
node/14060927024,https://www.openstreetmap.org/node/14060927024,,62.2976115,7.2628203,picnic_site,,,48.9,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/14060927024.
node/13695007800,https://www.openstreetmap.org/node/13695007800,,62.1118500,8.7717889,picnic_site,,,95.6,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/13695007800.
node/4706500650,https://www.openstreetmap.org/node/4706500650,Juvet Landskapshotell,62.3330144,7.4704554,hotel,,,96.6,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/4706500650.
way/297397683,https://www.openstreetmap.org/way/297397683,,62.0801057,9.1234024,camp_site,,,101.2,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/297397683.
way/1494570496,https://www.openstreetmap.org/way/1494570496,Ulvaholen,62.1119039,8.7717828,,shelter,,101.5,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/1494570496.
node/3663315937,https://www.openstreetmap.org/node/3663315937,Midtskog Camping,62.0796980,9.1235510,camp_site,,,120.4,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/3663315937.
node/5014558730,https://www.openstreetmap.org/node/5014558730,,62.1896127,8.5386678,picnic_site,,,159.0,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/5014558730.
node/14049320618,https://www.openstreetmap.org/node/14049320618,Dombås vandrerhjem,62.0785695,9.1438007,hostel,,,165.3,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/14049320618.
node/12115211607,https://www.openstreetmap.org/node/12115211607,Ljoshaugen camping,62.0717134,9.1317355,camp_site,,,199.9,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/12115211607.
node/3663317727,https://www.openstreetmap.org/node/3663317727,Uritun Camping,62.3153930,7.2893690,camp_site,,,216.3,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: node/3663317727.
way/672728331,https://www.openstreetmap.org/way/672728331,Valldal Camping,62.3166586,7.2950649,camp_site,,,223.9,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/672728331.
way/177373104,https://www.openstreetmap.org/way/177373104,,62.0899252,9.2099783,chalet,,cabin,234.6,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/177373104.
way/177373105,https://www.openstreetmap.org/way/177373105,,62.0897706,9.2102040,chalet,,cabin,255.4,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/177373105.
way/177373109,https://www.openstreetmap.org/way/177373109,,62.0894761,9.2092193,chalet,,cabin,257.7,11218584,missing,Proposed: add as member of relation 11218584 (Valldalsleden). Do not modify existing members of relation 11218584 (Valldalsleden). Research aid only. Existing OSM object: way/177373109.
