trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff
Valldalsleden,Elvebakken Camping,Campingplass | Teltplass,62.3025138,7.2558082,gap,,,,
Valldalsleden,Gammelstuggu,Rom og hytter,62.2350940,8.3063111,gap,,,,
Valldalsleden,Klosteret av Den Hellige Olav,Pilegrimsherberge,62.2998853,7.2951452,gap,,,,
Valldalsleden,Koia - Hytte i Verma,Rom og hytter,62.2695601,8.0741358,gap,,,,
Valldalsleden,Kvennbekkhytta (stengt),Rom og hytter,62.1923994,8.5405803,gap,,,,
Valldalsleden,Lesja Gjestgiveri,Rom og hytter,62.1182020,8.8533729,gap,,,,
Valldalsleden,Lorkverna,Rom og hytter,62.1200643,8.6512083,gap,,,,
Valldalsleden,Muri hytteutleige,Rom og hytter,62.2991634,7.2549677,gap,,,,
Valldalsleden,Sør-Einbu,Rom og hytter,62.2390944,8.3011685,gap,,,,
Valldalsleden,Aaheim camping,Rom og hytter,62.2276702,8.4231037,matched,way/304849086,https://www.openstreetmap.org/way/304849086,36.7,name:Aaheim camping->Aaheim Camping; tourism:chalet->camp_site
Valldalsleden,Bjorliheimen hotell,Pilegrimsherberge | Vandrerhjem | Campingplass | Rom og hytter | Teltplass,62.2533484,8.2164860,matched,way/306894609,https://www.openstreetmap.org/way/306894609,56.5,+hostel:type=pilgrim; +name=Bjorliheimen hotell; tourism:hostel->chalet
Valldalsleden,Dombås gard,Rom og hytter,62.0726800,9.1202563,matched,node/3663314565,https://www.openstreetmap.org/node/3663314565,33.2,name:Dombås gard->Domaas Gård Hyttetun & Caravancamp; osm:tents=yes; tourism:chalet->camp_site
Valldalsleden,Gudbrandsjuvet camping,Rom og hytter,62.3288582,7.4704021,matched,node/3663315238,https://www.openstreetmap.org/node/3663315238,14.4,name:Gudbrandsjuvet camping->Gudbrandsjuvet Camping; osm:tents=yes; tourism:chalet->camp_site
Valldalsleden,Kolstad gård,Rom og hytter,62.1145350,8.8378280,matched,node/6808271301,https://www.openstreetmap.org/node/6808271301,15.6,name:Kolstad gård->Kolstad gard; tourism:chalet->apartment
Valldalsleden,Lesjaskogsvatnet camping,Rom og hytter,62.2303184,8.4064592,matched,way/305044838,https://www.openstreetmap.org/way/305044838,72.9,name:Lesjaskogsvatnet camping->Lesjaskogvatnet Camping; tourism:chalet->camp_site
Valldalsleden,Midtskog camping,Campingplass | Rom og hytter | Teltplass,62.0798430,9.1229175,matched,node/3663315937,https://www.openstreetmap.org/node/3663315937,36.7,name:Midtskog camping->Midtskog Camping; tourism:chalet->camp_site
Valldalsleden,Tjønnebu,Rom og hytter,62.3211459,7.6662683,matched,node/1356403693,https://www.openstreetmap.org/node/1356403693,30.7,tourism:chalet->wilderness_hut
Valldalsleden,Tynnøl Backpackers Lodge,Rom og hytter,62.1194271,8.8028384,matched,node/6808271313,https://www.openstreetmap.org/node/6808271313,24.9,tourism:chalet->guest_house
Valldalsleden,Ljoshaugen camping,Campingplass,62.0707621,9.1316986,possible,node/12115211607,https://www.openstreetmap.org/node/12115211607,105.8,compatible_tag_beyond_100m
Valldalsleden,Meretes Garden,Vandrerhjem,62.3138027,7.2913170,possible,node/3663317727,https://www.openstreetmap.org/node/3663317727,203.5,compatible_tag_beyond_100m; name:Meretes Garden->Uritun Camping; tourism:hostel->camp_site
Valldalsleden,Trolltun Hotell og Hytter,Rom og hytter,62.0775638,9.1442798,possible,node/14049320618,https://www.openstreetmap.org/node/14049320618,114.6,compatible_tag_beyond_100m; name:Trolltun Hotell og Hytter->Dombås vandrerhjem; tourism:chalet->hostel
Valldalsleden,Vakkerstøylen,Vandrerhjem | Rom og hytter,62.2696151,7.8359985,possible,node/837453934,https://www.openstreetmap.org/node/837453934,248.4,compatible_tag_beyond_100m; tourism:hostel->wilderness_hut
