trail,poi_name,category,lat,lon,url
Borgleden,Bakke Camping,Rasteplass,59.0140034,11.4509889,https://www.pilegrimsleden.no/interessepunkter/bakke-camping
Borgleden,Bakkelund Backpackers,Rom og hytter | Teltplass,59.6802386,10.7225305,https://www.pilegrimsleden.no/interessepunkter/bakkelund-backpackers
Borgleden,Berg pilegrimsherberge,Pilegrimsherberge,59.1369926,11.3298869,https://www.pilegrimsleden.no/interessepunkter/berg-pilegrimsherberge
Borgleden,Bråtorp Camping,Campingplass | Rom og hytter | Teltplass,58.9113625,11.5237426,https://www.pilegrimsleden.no/interessepunkter/bratorp-camping
Borgleden,Bunks at Rode,Pilegrimsherberge | Vandrerhjem,59.9273939,10.7668296,https://www.pilegrimsleden.no/interessepunkter/bunks-at-rode
Borgleden,Fredriksten Camping,Campingplass | Rom og hytter | Teltplass,59.1159429,11.3986499,https://www.pilegrimsleden.no/interessepunkter/fredriksten-camping
Borgleden,"Gapahuk med grillplass Tobru, Halden",Gapahuk | Rasteplass,59.1545253,11.2919712,https://www.pilegrimsleden.no/interessepunkter/gapahuk-med-grillplass-tobru-halden
Borgleden,"Gapahuk med grillplass, Skjeberg/Guslundåsen-Heia",Gapahuk | Rasteplass,59.2213893,11.1974888,https://www.pilegrimsleden.no/interessepunkter/gapahuk-med-grillplass-skjeberg-guslundasen-heia-2
Borgleden,Haldenhytta,Pilegrimsherberge,59.1187617,11.3935733,https://www.pilegrimsleden.no/interessepunkter/overnatting-haldenhytta
Borgleden,Langøyene camping,Teltplass,59.8712779,10.7156181,https://www.pilegrimsleden.no/interessepunkter/langoyene-camping
Borgleden,Pilegrimsovernatting i Moss,Pilegrimsherberge,59.4136357,10.6629665,https://www.pilegrimsleden.no/interessepunkter/pilegrimsovernatting-i-moss
Borgleden,Skjeberg camping,Campingplass,59.1907989,11.1869016,https://www.pilegrimsleden.no/interessepunkter/skjeberg-camping
Borgleden,Solåsen pilegrimsgård,Pilegrimsherberge,59.5067271,10.6886244,https://www.pilegrimsleden.no/interessepunkter/solasen-pilegrimsgard
Borgleden,Urtegården Nordre Mørk,Rasteplass,59.5489309,10.6979168,https://www.pilegrimsleden.no/interessepunkter/urtegarden-rasteplass-og-overnatting
Borgleden,Utne Camping,Campingplass,59.3180143,10.9809503,https://www.pilegrimsleden.no/interessepunkter/utne-camping
Borgleden,Østre Aker pilegrimsherberge,Pilegrimsherberge,59.9221295,10.8198166,https://www.pilegrimsleden.no/interessepunkter/ostre-aker-herberge
Gudbrandsdalsleden,"""Rastebu"" at Farseggen #1",Rasteplass,59.9999579,11.0495442,https://www.pilegrimsleden.no/interessepunkter/gapahuk-1
Gudbrandsdalsleden,"""Rastebu"" ved Farseggen #2",Rasteplass,59.9963896,11.0843414,https://www.pilegrimsleden.no/interessepunkter/gapahuk
Gudbrandsdalsleden,Aaraas Pilegrimsherberge,Pilegrimsherberge | Teltplass,59.9893932,10.9769382,https://www.pilegrimsleden.no/interessepunkter/aaraas-pilegrimsherberge
Gudbrandsdalsleden,Arteid Vestre,Rom og hytter | Teltplass,60.0504832,11.1530332,https://www.pilegrimsleden.no/interessepunkter/arteid-vestre
Gudbrandsdalsleden,Atelier Lefstorvet,Pilegrimsherberge,60.8350473,11.0091287,https://www.pilegrimsleden.no/interessepunkter/atelier-lefstorvet
Gudbrandsdalsleden,Audenhus - Pilegrimsherberge på Vingrom,Pilegrimsherberge,61.0296336,10.4403680,https://www.pilegrimsleden.no/interessepunkter/audenhus-pilegrimsherberge-pa-vingrom
Gudbrandsdalsleden,Aunan Gård,Pilegrimsherberge,63.2256824,10.0401410,https://www.pilegrimsleden.no/interessepunkter/aunan-gard
Gudbrandsdalsleden,Aurdal Gård,Pilegrimsherberge | Rom og hytter | Teltplass,60.1900835,10.3672265,https://www.pilegrimsleden.no/interessepunkter/aurdal-gard
Gudbrandsdalsleden,Basecamp Frich's Hjerkinn,Vandrerhjem | Teltplass,62.2208301,9.5441801,https://www.pilegrimsleden.no/interessepunkter/hjerkinnhus-vandrerhjem
Gudbrandsdalsleden,Bergmannshuset,Vandrerhjem,63.1242870,9.7045620,https://www.pilegrimsleden.no/interessepunkter/sans-bergmannskroa
Gudbrandsdalsleden,Betania Kolbu,Pilegrimsherberge | Rom og hytter | Teltplass,60.6127328,10.7676959,https://www.pilegrimsleden.no/interessepunkter/betania-kolbu
Gudbrandsdalsleden,Bittes Gjestehus,Pilegrimsherberge,61.5275291,10.1347539,https://www.pilegrimsleden.no/interessepunkter/bittes-gjestehus
Gudbrandsdalsleden,Brurbakkvegen 79,Pilegrimsherberge | Vandrerhjem | Teltplass,60.4083844,10.5107736,https://www.pilegrimsleden.no/interessepunkter/brurbakkvegen-79
Gudbrandsdalsleden,Bryggerhuset Nordre Ullern,Pilegrimsherberge | Rom og hytter | Teltplass | Rasteplass,60.0823505,10.2203343,https://www.pilegrimsleden.no/interessepunkter/bryggerhuset-nordre-ullern
Gudbrandsdalsleden,Bryggerhuset på Lander,Pilegrimsherberge,60.3897231,10.5109907,https://www.pilegrimsleden.no/interessepunkter/bryggerhuset-pa-lander
Gudbrandsdalsleden,Bryhni Søndre – Gjestegård,Pilegrimsherberge,60.7286909,11.2564445,https://www.pilegrimsleden.no/interessepunkter/bryhni-sondre-gjestegard
Gudbrandsdalsleden,Brynn i Bergsengroa,Pilegrimsherberge | Teltplass,61.0364407,10.4874372,https://www.pilegrimsleden.no/interessepunkter/overnatting-pa-brynn-i-bergsengroa-i-brottum
Gudbrandsdalsleden,Brøttum Camping,Campingplass | Rom og hytter | Teltplass,61.0245197,10.5536841,https://www.pilegrimsleden.no/interessepunkter/brottum-camping
Gudbrandsdalsleden,Budsjord historisk gard,Vandrerhjem,62.0158705,9.2236515,https://www.pilegrimsleden.no/interessepunkter/budsjord-historisk-gard
Gudbrandsdalsleden,Bunks at Rode,Pilegrimsherberge | Vandrerhjem,59.9273939,10.7668296,https://www.pilegrimsleden.no/interessepunkter/bunks-at-rode
Gudbrandsdalsleden,Båkinn Gård,Pilegrimsherberge | Rom og hytter | Teltplass | Gapahuk,60.7365991,10.8293661,https://www.pilegrimsleden.no/interessepunkter/bakinn-gard
Gudbrandsdalsleden,Bærum gapahuk,Gapahuk,59.9429920,10.5565670,https://www.pilegrimsleden.no/interessepunkter/baerum-gapahuk
Gudbrandsdalsleden,Bøndernes Hus Jevnaker,Gapahuk,60.2529905,10.4293258,https://www.pilegrimsleden.no/interessepunkter/bondernes-hus-jevnaker
Gudbrandsdalsleden,Dalum herberge tilbyr enkel overnatting til pilegrimer,Pilegrimsherberge,61.6805397,9.5678257,https://www.pilegrimsleden.no/interessepunkter/dalum-herberge-tilbyr-enkel-overnatting-til-pilegrimer
Gudbrandsdalsleden,Dovrefjell Lodge (Furuhaugli),Vandrerhjem | Rom og hytter | Teltplass,62.1535067,9.3706512,https://www.pilegrimsleden.no/interessepunkter/furuhaugli-turisthytter
Gudbrandsdalsleden,Dovregubbens Hall,Vandrerhjem,62.1746080,9.4288660,https://www.pilegrimsleden.no/interessepunkter/dovregubbens-hall
Gudbrandsdalsleden,Dovreskogen camping,Rom og hytter | Teltplass,61.9286771,9.3168783,https://www.pilegrimsleden.no/interessepunkter/dovreskogen-camping
Gudbrandsdalsleden,Dovreskogen Gjestegård,Vandrerhjem | Teltplass,61.9118008,9.3607324,https://www.pilegrimsleden.no/interessepunkter/dovreskogen-gjestegard
Gudbrandsdalsleden,Eidsvoll gamle prestegård - STENGT I 2026,Pilegrimsherberge | Teltplass,60.3197741,11.2458617,https://www.pilegrimsleden.no/interessepunkter/eidsvoll-gamle-prestegard
Gudbrandsdalsleden,Elgsjøhytta (for grupper),Rom og hytter,62.3790904,9.7729082,https://www.pilegrimsleden.no/interessepunkter/elgsjohytta-for-grupper
Gudbrandsdalsleden,Elstad Camping,Pilegrimsherberge | Campingplass,61.5015144,10.1689251,https://www.pilegrimsleden.no/interessepunkter/elstad-camping-camping-site-on-the-riverbank-of-gudbrandsdalslagen
Gudbrandsdalsleden,ELSTAD CAMPING - I VAKRE OMGIVELSER VED GUDBRANDSDALSLÅGEN,Pilegrimsherberge | Campingplass,61.5015145,10.1688644,https://www.pilegrimsleden.no/interessepunkter/elstad-camping-i-vakre-omgivelser-ved-gudbrandsdalslagen
Gudbrandsdalsleden,Engen kloster i Kolbu,Pilegrimsherberge,60.5895024,10.7197376,https://www.pilegrimsleden.no/interessepunkter/engen-kloster-i-kolbu-overnatting
Gudbrandsdalsleden,Enkel overnatting i gapahuk/hytte,Gapahuk,60.3805850,11.2759638,https://www.pilegrimsleden.no/interessepunkter/enkel-overnatting-i-gapahuk-hytte
Gudbrandsdalsleden,Fjellheim gård,Pilegrimsherberge | Teltplass,60.0378726,11.1432213,https://www.pilegrimsleden.no/interessepunkter/fjellheim-gard
